Parameter Name;Value
General Information;
Sample name:;Soil_Samples_JKI
Additional Soil Paramters;
Density [g/cm3]:;1.62
Porosity [-]:;0.39
Wiederholungen;
Sample name 0:;
Sample name 1:;269.br
Sample name 2:;300.br
Sample name 3:;455.br
Sample name 4:;
Sample name 5:;
Sample name 6:;
Sample name 7:;
Fitting Parameters;
wtheta;1
wk;0.001
Fitting;
Model Description;traditional unconstrained van Genuchten-Mualem model
Notes;
General data;
- Site coordinates;
- Sampling date;
- Site description;
- Soil type;
- Land use;
Soil physical data;
- Texture (%clay, %silt, %sand);
- Soil texture class;
- Sampling depth;
- Organic carbon content;
Sample preparation and handling;
- Initial saturation procedure;
- Swelling handling (suppressed, not suppressed, under load);
pF [-];Water Content [Vol%];Weight [-]
0.146;33.42;
0.342;33.44;
0.33;33.42;
0.309;33.4;
0.417;33.36;
0.434;33.32;
0.474;33.28;
0.543;33.22;
0.569;33.16;
0.584;33.1;
0.594;33.03;
0.609;32.96;
0.617;32.88;
0.626;32.81;
0.708;32.73;
0.815;32.65;
0.908;32.58;
1.004;32.5;
1.082;32.43;
1.103;32.35;
1.11;32.28;
1.146;32.21;
1.164;32.14;
1.119;32.07;
1.074;31.99;
1.08;31.92;
1.108;31.84;
1.181;31.75;
1.25;31.65;
1.247;31.54;
1.221;31.42;
1.239;31.28;
1.271;31.14;
1.287;31;
1.267;30.85;
1.289;30.7;
1.341;30.54;
1.366;30.37;
1.39;30.21;
1.414;30.03;
1.436;29.85;
1.458;29.67;
1.482;29.48;
1.505;29.29;
1.528;29.1;
1.551;28.9;
1.572;28.69;
1.594;28.48;
1.617;28.27;
1.638;28.05;
1.659;27.83;
1.678;27.6;
1.698;27.37;
1.717;27.14;
1.732;26.9;
1.747;26.67;
1.756;26.42;
1.766;26.18;
1.784;25.94;
1.803;25.69;
1.822;25.44;
1.838;25.19;
1.849;24.94;
1.859;24.69;
1.87;24.43;
1.882;24.18;
1.896;23.93;
1.912;23.68;
1.932;23.43;
1.952;23.17;
1.971;22.91;
1.991;22.64;
2.011;22.36;
2.033;22.08;
2.056;21.8;
2.079;21.51;
2.103;21.22;
2.128;20.92;
2.153;20.62;
2.18;20.32;
2.207;20.01;
2.236;19.7;
2.267;19.38;
2.3;19.06;
2.334;18.74;
2.369;18.41;
2.404;18.09;
2.44;17.76;
2.477;17.42;
2.513;17.09;
2.551;16.75;
2.591;16.42;
2.633;16.08;
2.675;15.74;
2.718;15.41;
2.761;15.07;
2.803;14.74;
2.844;14.4;
2.885;14.07;
-0.373;37.97;
-0.005;37.97;
0.018;37.96;
0.016;37.94;
0.073;37.92;
0.113;37.89;
0.145;37.86;
0.175;37.82;
0.203;37.77;
0.238;37.72;
0.28;37.67;
0.33;37.61;
0.385;37.54;
0.455;37.47;
0.539;37.39;
0.643;37.31;
0.793;37.22;
0.939;37.13;
1.052;37.03;
1.149;36.93;
1.236;36.82;
1.314;36.71;
1.368;36.6;
1.411;36.48;
1.438;36.36;
1.426;36.23;
1.452;36.1;
1.451;35.97;
1.403;35.83;
1.369;35.69;
1.394;35.55;
1.446;35.4;
1.382;35.25;
1.37;35.09;
1.421;34.94;
1.464;34.77;
1.526;34.61;
1.53;34.44;
1.531;34.26;
1.561;34.09;
1.595;33.91;
1.615;33.72;
1.629;33.53;
1.65;33.33;
1.666;33.14;
1.682;32.93;
1.699;32.72;
1.713;32.5;
1.728;32.28;
1.739;32.05;
1.751;31.81;
1.768;31.57;
1.783;31.32;
1.796;31.06;
1.808;30.8;
1.819;30.54;
1.83;30.27;
1.842;30;
1.855;29.72;
1.866;29.44;
1.879;29.15;
1.891;28.86;
1.902;28.55;
1.915;28.25;
1.928;27.93;
1.941;27.61;
1.954;27.29;
1.966;26.95;
1.98;26.62;
1.994;26.27;
2.008;25.92;
2.023;25.57;
2.039;25.2;
2.054;24.84;
2.073;24.46;
2.095;24.08;
2.117;23.68;
2.139;23.28;
2.16;22.87;
2.182;22.46;
2.205;22.04;
2.229;21.62;
2.254;21.2;
2.28;20.79;
2.307;20.37;
2.336;19.95;
2.365;19.52;
2.396;19.09;
2.429;18.65;
2.464;18.2;
2.499;17.76;
2.537;17.32;
2.576;16.88;
2.617;16.44;
2.659;16.02;
2.703;15.61;
2.748;15.21;
2.795;14.83;
2.841;14.48;
0.562;40.91;
0.562;40.9;
0.563;40.89;
0.566;40.87;
0.571;40.85;
0.578;40.83;
0.583;40.79;
0.591;40.76;
0.601;40.71;
0.611;40.67;
0.626;40.61;
0.648;40.55;
0.677;40.49;
0.712;40.42;
0.766;40.35;
0.853;40.27;
0.919;40.19;
0.989;40.1;
1.078;40.02;
1.152;39.92;
1.217;39.83;
1.283;39.73;
1.346;39.62;
1.392;39.52;
1.433;39.41;
1.461;39.3;
1.49;39.18;
1.528;39.06;
1.496;38.94;
1.416;38.81;
1.452;38.69;
1.538;38.55;
1.522;38.42;
1.541;38.28;
1.614;38.14;
1.583;38;
1.569;37.86;
1.624;37.71;
1.653;37.55;
1.668;37.4;
1.684;37.24;
1.698;37.07;
1.669;36.9;
1.652;36.73;
1.68;36.55;
1.699;36.36;
1.718;36.17;
1.729;35.97;
1.736;35.77;
1.748;35.55;
1.764;35.33;
1.775;35.1;
1.785;34.86;
1.794;34.62;
1.802;34.38;
1.81;34.12;
1.817;33.87;
1.825;33.61;
1.835;33.34;
1.843;33.08;
1.851;32.81;
1.86;32.53;
1.869;32.26;
1.877;31.98;
1.886;31.7;
1.896;31.41;
1.905;31.12;
1.913;30.82;
1.922;30.52;
1.932;30.21;
1.942;29.9;
1.953;29.57;
1.963;29.24;
1.975;28.9;
1.987;28.56;
2.002;28.2;
2.016;27.83;
2.03;27.45;
2.043;27.06;
2.057;26.67;
2.072;26.27;
2.088;25.87;
2.105;25.47;
2.122;25.08;
2.14;24.68;
2.161;24.28;
2.182;23.87;
2.203;23.46;
2.226;23.05;
2.25;22.64;
2.275;22.22;
2.301;21.8;
2.329;21.38;
2.358;20.96;
2.389;20.54;
2.422;20.12;
2.456;19.71;
2.493;19.29;
2.531;18.88;
-2;38.14;
-2;38.13;
-2;38.11;
0.13;38.09;
0.382;38.06;
0.546;38.02;
0.626;37.98;
0.642;37.94;
0.65;37.89;
0.665;37.83;
0.693;37.77;
0.77;37.7;
0.887;37.63;
1.014;37.55;
1.135;37.46;
1.248;37.37;
1.335;37.28;
1.296;37.18;
1.243;37.07;
1.297;36.96;
1.336;36.84;
1.327;36.72;
1.321;36.59;
1.34;36.46;
1.346;36.32;
1.357;36.18;
1.312;36.03;
1.326;35.88;
1.367;35.73;
1.363;35.57;
1.401;35.4;
1.432;35.23;
1.461;35.05;
1.493;34.87;
1.523;34.68;
1.554;34.49;
1.573;34.3;
1.593;34.1;
1.62;33.89;
1.641;33.68;
1.664;33.47;
1.688;33.25;
1.708;33.02;
1.72;32.79;
1.736;32.56;
1.754;32.32;
1.766;32.08;
1.775;31.83;
1.782;31.58;
1.789;31.33;
1.798;31.07;
1.805;30.8;
1.813;30.53;
1.82;30.26;
1.824;29.98;
1.83;29.7;
1.837;29.41;
1.845;29.12;
1.853;28.82;
1.863;28.52;
1.873;28.21;
1.885;27.89;
1.899;27.56;
1.91;27.23;
1.921;26.88;
1.932;26.53;
1.944;26.18;
1.956;25.81;
1.97;25.44;
1.984;25.06;
1.999;24.68;
2.015;24.29;
2.033;23.89;
2.051;23.49;
2.067;23.08;
2.085;22.66;
2.106;22.24;
2.128;21.82;
2.155;21.39;
2.184;20.96;
2.214;20.52;
2.243;20.09;
2.272;19.65;
2.302;19.2;
2.333;18.76;
2.366;18.32;
2.4;17.87;
2.436;17.43;
2.475;16.99;
2.516;16.55;
2.557;16.12;
2.598;15.68;
2.64;15.26;
2.685;14.83;
2.733;14.42;
2.779;14.01;
2.828;13.62;
2.876;13.23;
-2;34.58;
0.179;34.54;
0.467;34.49;
0.645;34.43;
0.775;34.37;
0.881;34.3;
0.974;34.23;
1.06;34.16;
1.137;34.08;
1.211;33.99;
1.279;33.9;
1.349;33.81;
1.419;33.71;
1.328;33.61;
1.177;33.5;
1.217;33.39;
1.254;33.27;
1.292;33.15;
1.342;33.02;
1.373;32.89;
1.354;32.76;
1.358;32.62;
1.408;32.47;
1.45;32.33;
1.492;32.17;
1.521;32.02;
1.549;31.86;
1.587;31.69;
1.62;31.52;
1.643;31.35;
1.661;31.17;
1.68;30.99;
1.698;30.8;
1.714;30.61;
1.726;30.42;
1.738;30.22;
1.75;30.01;
1.762;29.81;
1.771;29.59;
1.779;29.38;
1.788;29.16;
1.796;28.94;
1.803;28.71;
1.808;28.48;
1.812;28.24;
1.819;28;
1.827;27.76;
1.833;27.51;
1.837;27.26;
1.841;27;
1.847;26.75;
1.853;26.48;
1.86;26.21;
1.869;25.94;
1.878;25.66;
1.887;25.38;
1.899;25.09;
1.911;24.79;
1.923;24.48;
1.933;24.17;
1.943;23.85;
1.954;23.52;
1.966;23.19;
1.978;22.85;
1.99;22.5;
2.003;22.15;
2.017;21.79;
2.032;21.43;
2.049;21.06;
2.064;20.69;
2.078;20.31;
2.095;19.93;
2.115;19.54;
2.137;19.15;
2.163;18.75;
2.191;18.35;
2.222;17.95;
2.253;17.55;
2.285;17.14;
2.32;16.73;
2.357;16.32;
2.395;15.91;
2.435;15.51;
2.475;15.1;
2.516;14.69;
2.559;14.29;
2.601;13.89;
2.642;13.49;
2.683;13.1;
2.725;12.71;
2.769;12.33;
0.334;33.75;
0.321;33.75;
0.41;33.74;
0.488;33.73;
0.521;33.71;
0.551;33.69;
0.581;33.66;
0.643;33.63;
0.744;33.6;
0.843;33.56;
0.933;33.52;
1.015;33.47;
1.09;33.42;
1.163;33.37;
1.238;33.31;
1.237;33.24;
1.197;33.18;
1.237;33.1;
1.299;33.03;
1.327;32.95;
1.361;32.86;
1.414;32.77;
1.461;32.68;
1.499;32.58;
1.529;32.48;
1.536;32.37;
1.552;32.26;
1.577;32.15;
1.598;32.03;
1.634;31.91;
1.66;31.78;
1.683;31.65;
1.704;31.52;
1.72;31.38;
1.741;31.23;
1.762;31.08;
1.779;30.93;
1.794;30.77;
1.804;30.61;
1.815;30.44;
1.826;30.27;
1.836;30.09;
1.846;29.91;
1.855;29.73;
1.864;29.54;
1.874;29.34;
1.883;29.15;
1.891;28.94;
1.899;28.74;
1.906;28.53;
1.913;28.32;
1.92;28.1;
1.926;27.88;
1.933;27.66;
1.936;27.43;
1.941;27.2;
1.949;26.97;
1.958;26.73;
1.967;26.49;
1.974;26.25;
1.979;26.01;
1.984;25.76;
1.991;25.52;
2;25.27;
2.01;25.02;
2.022;24.77;
2.037;24.51;
2.052;24.25;
2.068;23.98;
2.087;23.71;
2.105;23.43;
2.123;23.14;
2.142;22.85;
2.162;22.55;
2.182;22.25;
2.203;21.95;
2.225;21.63;
2.247;21.32;
2.271;21;
2.296;20.67;
2.323;20.34;
2.351;20.01;
2.378;19.67;
2.406;19.33;
2.436;18.98;
2.467;18.64;
2.499;18.29;
2.534;17.93;
2.572;17.58;
2.611;17.22;
2.648;16.87;
2.685;16.51;
2.721;16.16;
2.758;15.8;
2.796;15.44;
2.833;15.09;
2.871;14.74;
2.91;14.39;
2.948;14.04;
3.77;8.42;1
4.15;5.2;1
5.12;2.19;1
6.09;0.68;1
6.16;0.48;1
3.75;9.94;1
4.35;4.56;1
5.44;1.62;1
6.15;0.63;1
pF [-];log 10 K [cm/d];Weight [-]
1.912;-0.4;
1.932;-0.5;
1.952;-0.57;
1.971;-0.66;
1.991;-0.76;
2.011;-0.85;
2.033;-0.93;
2.056;-1;
2.079;-1.08;
2.103;-1.16;
2.128;-1.24;
2.153;-1.32;
2.18;-1.4;
2.207;-1.48;
2.236;-1.57;
2.267;-1.66;
2.3;-1.76;
2.334;-1.85;
2.369;-1.92;
2.404;-1.99;
2.44;-2.07;
2.477;-2.16;
2.513;-2.23;
2.551;-2.32;
2.591;-2.42;
2.633;-2.53;
2.675;-2.62;
2.718;-2.72;
2.761;-2.81;
2.803;-2.89;
2.844;-2.98;
2.885;-3.05;
2.054;-0.32;
2.073;-0.38;
2.095;-0.46;
2.117;-0.59;
2.139;-0.69;
2.16;-0.77;
2.182;-0.87;
2.205;-0.97;
2.229;-1.07;
2.254;-1.17;
2.28;-1.27;
2.307;-1.37;
2.336;-1.46;
2.365;-1.55;
2.396;-1.65;
2.429;-1.77;
2.464;-1.88;
2.499;-1.98;
2.537;-2.1;
2.576;-2.21;
2.617;-2.32;
2.659;-2.44;
2.703;-2.56;
2.748;-2.68;
2.795;-2.81;
2.841;-2.92;
2.057;-0.3;
2.072;-0.38;
2.088;-0.44;
2.105;-0.53;
2.122;-0.66;
2.14;-0.74;
2.161;-0.8;
2.182;-0.88;
2.203;-0.96;
2.226;-1.08;
2.25;-1.16;
2.275;-1.23;
2.301;-1.31;
2.329;-1.4;
2.358;-1.49;
2.389;-1.59;
2.422;-1.69;
2.456;-1.79;
2.493;-1.9;
2.531;-2.01;
2.015;-0.3;
2.033;-0.38;
2.051;-0.43;
2.067;-0.45;
2.085;-0.52;
2.106;-0.64;
2.128;-0.73;
2.155;-0.82;
2.184;-0.91;
2.214;-0.97;
2.243;-1.03;
2.272;-1.08;
2.302;-1.15;
2.333;-1.23;
2.366;-1.32;
2.4;-1.41;
2.436;-1.5;
2.475;-1.61;
2.516;-1.72;
2.557;-1.81;
2.598;-1.91;
2.64;-2.04;
2.685;-2.19;
2.733;-2.32;
2.779;-2.42;
2.828;-2.53;
2.876;-2.63;
2.003;-0.31;
2.017;-0.41;
2.032;-0.53;
2.049;-0.66;
2.064;-0.72;
2.078;-0.78;
2.095;-0.89;
2.115;-1.03;
2.137;-1.15;
2.163;-1.26;
2.191;-1.38;
2.222;-1.47;
2.253;-1.53;
2.285;-1.6;
2.32;-1.67;
2.357;-1.75;
2.395;-1.84;
2.435;-1.92;
2.475;-2.01;
2.516;-2.1;
2.559;-2.2;
2.601;-2.29;
2.642;-2.38;
2.683;-2.47;
2.725;-2.57;
2.769;-2.68;
2;-0.39;
2.01;-0.43;
2.022;-0.48;
2.037;-0.54;
2.052;-0.57;
2.068;-0.63;
2.087;-0.71;
2.105;-0.75;
2.123;-0.77;
2.142;-0.81;
2.162;-0.85;
2.182;-0.91;
2.203;-0.96;
2.225;-1.03;
2.247;-1.09;
2.271;-1.16;
2.296;-1.24;
2.323;-1.34;
2.351;-1.39;
2.378;-1.42;
2.406;-1.51;
2.436;-1.6;
2.467;-1.67;
2.499;-1.76;
2.534;-1.87;
2.572;-1.99;
2.611;-2.09;
2.648;-2.17;
2.685;-2.25;
2.721;-2.33;
2.758;-2.42;
2.796;-2.51;
2.833;-2.61;
2.871;-2.7;
2.91;-2.79;
2.948;-2.89;
Water Content [Vol%];log 10 K [cm/d]
23.68;-0.4
23.43;-0.5
23.17;-0.57
22.91;-0.66
22.64;-0.76
22.36;-0.85
22.08;-0.93
21.8;-1
21.51;-1.08
21.22;-1.16
20.92;-1.24
20.62;-1.32
20.32;-1.4
20.01;-1.48
19.7;-1.57
19.38;-1.66
19.06;-1.76
18.74;-1.85
18.41;-1.92
18.09;-1.99
17.76;-2.07
17.42;-2.16
17.09;-2.23
16.75;-2.32
16.42;-2.42
16.08;-2.53
15.74;-2.62
15.41;-2.72
15.07;-2.81
14.74;-2.89
14.4;-2.98
14.07;-3.05
24.84;-0.32
24.46;-0.38
24.08;-0.46
23.68;-0.59
23.28;-0.69
22.87;-0.77
22.46;-0.87
22.04;-0.97
21.62;-1.07
21.2;-1.17
20.79;-1.27
20.37;-1.37
19.95;-1.46
19.52;-1.55
19.09;-1.65
18.65;-1.77
18.2;-1.88
17.76;-1.98
17.32;-2.1
16.88;-2.21
16.44;-2.32
16.02;-2.44
15.61;-2.56
15.21;-2.68
14.83;-2.81
14.48;-2.92
26.67;-0.3
26.27;-0.38
25.87;-0.44
25.47;-0.53
25.08;-0.66
24.68;-0.74
24.28;-0.8
23.87;-0.88
23.46;-0.96
23.05;-1.08
22.64;-1.16
22.22;-1.23
21.8;-1.31
21.38;-1.4
20.96;-1.49
20.54;-1.59
20.12;-1.69
19.71;-1.79
19.29;-1.9
18.88;-2.01
24.29;-0.3
23.89;-0.38
23.49;-0.43
23.08;-0.45
22.66;-0.52
22.24;-0.64
21.82;-0.73
21.39;-0.82
20.96;-0.91
20.52;-0.97
20.09;-1.03
19.65;-1.08
19.2;-1.15
18.76;-1.23
18.32;-1.32
17.87;-1.41
17.43;-1.5
16.99;-1.61
16.55;-1.72
16.12;-1.81
15.68;-1.91
15.26;-2.04
14.83;-2.19
14.42;-2.32
14.01;-2.42
13.62;-2.53
13.23;-2.63
22.15;-0.31
21.79;-0.41
21.43;-0.53
21.06;-0.66
20.69;-0.72
20.31;-0.78
19.93;-0.89
19.54;-1.03
19.15;-1.15
18.75;-1.26
18.35;-1.38
17.95;-1.47
17.55;-1.53
17.14;-1.6
16.73;-1.67
16.32;-1.75
15.91;-1.84
15.51;-1.92
15.1;-2.01
14.69;-2.1
14.29;-2.2
13.89;-2.29
13.49;-2.38
13.1;-2.47
12.71;-2.57
12.33;-2.68
25.27;-0.39
25.02;-0.43
24.77;-0.48
24.51;-0.54
24.25;-0.57
23.98;-0.63
23.71;-0.71
23.43;-0.75
23.14;-0.77
22.85;-0.81
22.55;-0.85
22.25;-0.91
21.95;-0.96
21.63;-1.03
21.32;-1.09
21;-1.16
20.67;-1.24
20.34;-1.34
20.01;-1.39
19.67;-1.42
19.33;-1.51
18.98;-1.6
18.64;-1.67
18.29;-1.76
17.93;-1.87
17.58;-1.99
17.22;-2.09
16.87;-2.17
16.51;-2.25
16.16;-2.33
15.8;-2.42
15.44;-2.51
15.09;-2.61
14.74;-2.7
14.39;-2.79
14.04;-2.89
pF [-];Water Content [Vol%]
-3;36.08
-2.98;36.08
-2.96;36.08
-2.94;36.08
-2.92;36.08
-2.9;36.08
-2.88;36.08
-2.86;36.08
-2.84;36.08
-2.82;36.08
-2.8;36.08
-2.78;36.08
-2.76;36.08
-2.739;36.08
-2.719;36.08
-2.699;36.08
-2.679;36.08
-2.659;36.08
-2.639;36.08
-2.619;36.08
-2.599;36.08
-2.579;36.08
-2.559;36.08
-2.539;36.08
-2.519;36.08
-2.499;36.08
-2.479;36.08
-2.459;36.08
-2.439;36.08
-2.419;36.08
-2.399;36.08
-2.379;36.08
-2.359;36.08
-2.339;36.08
-2.319;36.08
-2.299;36.08
-2.279;36.08
-2.259;36.08
-2.238;36.08
-2.218;36.08
-2.198;36.08
-2.178;36.08
-2.158;36.08
-2.138;36.08
-2.118;36.08
-2.098;36.08
-2.078;36.08
-2.058;36.08
-2.038;36.08
-2.018;36.08
-1.998;36.08
-1.978;36.08
-1.958;36.08
-1.938;36.08
-1.918;36.08
-1.898;36.08
-1.878;36.08
-1.858;36.08
-1.838;36.08
-1.818;36.08
-1.798;36.08
-1.778;36.08
-1.758;36.08
-1.737;36.08
-1.717;36.08
-1.697;36.08
-1.677;36.08
-1.657;36.08
-1.637;36.08
-1.617;36.08
-1.597;36.08
-1.577;36.08
-1.557;36.08
-1.537;36.08
-1.517;36.08
-1.497;36.08
-1.477;36.08
-1.457;36.08
-1.437;36.08
-1.417;36.08
-1.397;36.08
-1.377;36.08
-1.357;36.08
-1.337;36.08
-1.317;36.08
-1.297;36.08
-1.277;36.08
-1.257;36.08
-1.236;36.08
-1.216;36.08
-1.196;36.08
-1.176;36.08
-1.156;36.08
-1.136;36.08
-1.116;36.08
-1.096;36.08
-1.076;36.08
-1.056;36.08
-1.036;36.08
-1.016;36.08
-0.996;36.08
-0.976;36.08
-0.956;36.08
-0.936;36.08
-0.916;36.08
-0.896;36.08
-0.876;36.08
-0.856;36.08
-0.836;36.08
-0.816;36.08
-0.796;36.08
-0.776;36.08
-0.756;36.08
-0.735;36.08
-0.715;36.08
-0.695;36.08
-0.675;36.08
-0.655;36.08
-0.635;36.08
-0.615;36.08
-0.595;36.08
-0.575;36.08
-0.555;36.08
-0.535;36.08
-0.515;36.08
-0.495;36.08
-0.475;36.08
-0.455;36.08
-0.435;36.08
-0.415;36.08
-0.395;36.08
-0.375;36.08
-0.355;36.08
-0.335;36.08
-0.315;36.08
-0.295;36.08
-0.275;36.08
-0.255;36.08
-0.234;36.08
-0.214;36.08
-0.194;36.08
-0.174;36.08
-0.154;36.08
-0.134;36.08
-0.114;36.08
-0.094;36.08
-0.074;36.08
-0.054;36.08
-0.034;36.08
-0.014;36.08
0.006;36.08
0.026;36.08
0.046;36.08
0.066;36.08
0.086;36.08
0.106;36.08
0.126;36.08
0.146;36.08
0.166;36.08
0.186;36.08
0.206;36.08
0.226;36.08
0.246;36.08
0.267;36.08
0.287;36.08
0.307;36.08
0.327;36.08
0.347;36.08
0.367;36.08
0.387;36.08
0.407;36.08
0.427;36.08
0.447;36.08
0.467;36.08
0.487;36.08
0.507;36.08
0.527;36.08
0.547;36.08
0.567;36.08
0.587;36.08
0.607;36.08
0.627;36.08
0.647;36.08
0.667;36.08
0.687;36.08
0.707;36.07
0.727;36.07
0.747;36.07
0.768;36.07
0.788;36.07
0.808;36.07
0.828;36.06
0.848;36.06
0.868;36.06
0.888;36.05
0.908;36.05
0.928;36.04
0.948;36.03
0.968;36.03
0.988;36.02
1.008;36.01
1.028;36
1.048;35.98
1.068;35.97
1.088;35.95
1.108;35.93
1.128;35.91
1.148;35.89
1.168;35.86
1.188;35.82
1.208;35.79
1.228;35.74
1.248;35.7
1.269;35.64
1.289;35.58
1.309;35.51
1.329;35.43
1.349;35.34
1.369;35.24
1.389;35.13
1.409;35
1.429;34.87
1.449;34.71
1.469;34.54
1.489;34.36
1.509;34.16
1.529;33.94
1.549;33.71
1.569;33.46
1.589;33.19
1.609;32.91
1.629;32.61
1.649;32.29
1.669;31.96
1.689;31.62
1.709;31.27
1.729;30.91
1.749;30.54
1.77;30.16
1.79;29.77
1.81;29.38
1.83;28.99
1.85;28.59
1.87;28.19
1.89;27.79
1.91;27.4
1.93;27
1.95;26.6
1.97;26.21
1.99;25.82
2.01;25.43
2.03;25.04
2.05;24.66
2.07;24.29
2.09;23.92
2.11;23.55
2.13;23.19
2.15;22.83
2.17;22.47
2.19;22.12
2.21;21.78
2.23;21.44
2.251;21.11
2.271;20.78
2.291;20.46
2.311;20.14
2.331;19.82
2.351;19.51
2.371;19.21
2.391;18.91
2.411;18.62
2.431;18.33
2.451;18.04
2.471;17.76
2.491;17.48
2.511;17.21
2.531;16.94
2.551;16.68
2.571;16.42
2.591;16.16
2.611;15.91
2.631;15.67
2.651;15.42
2.671;15.19
2.691;14.95
2.711;14.72
2.731;14.49
2.752;14.27
