Parameter Name;Value
2.772;14.05
2.792;13.83
2.812;13.62
2.832;13.41
2.852;13.2
2.872;13
2.892;12.8
2.912;12.6
2.932;12.41
2.952;12.22
2.972;12.03
2.992;11.85
3.012;11.67
3.032;11.49
3.052;11.31
3.072;11.14
3.092;10.97
3.112;10.81
3.132;10.64
3.152;10.48
3.172;10.32
3.192;10.16
3.212;10.01
3.232;9.86
3.253;9.71
3.273;9.57
3.293;9.42
3.313;9.28
3.333;9.14
3.353;9
3.373;8.87
3.393;8.74
3.413;8.61
3.433;8.48
3.453;8.35
3.473;8.23
3.493;8.1
3.513;7.98
3.533;7.87
3.553;7.75
3.573;7.64
3.593;7.52
3.613;7.41
3.633;7.3
3.653;7.2
3.673;7.09
3.693;6.99
3.713;6.89
3.733;6.79
3.754;6.69
3.774;6.59
3.794;6.49
3.814;6.4
3.834;6.31
3.854;6.22
3.874;6.13
3.894;6.04
3.914;5.95
3.934;5.87
3.954;5.78
3.974;5.7
3.994;5.62
4.014;5.54
4.034;5.46
4.054;5.38
4.074;5.31
4.094;5.23
4.114;5.16
4.134;5.09
4.154;5.02
4.174;4.95
4.194;4.88
4.214;4.81
4.234;4.74
4.255;4.68
4.275;4.61
4.295;4.55
4.315;4.49
4.335;4.43
4.355;4.37
4.375;4.31
4.395;4.25
4.415;4.19
4.435;4.13
4.455;4.08
4.475;4.02
4.495;3.97
4.515;3.92
4.535;3.86
4.555;3.81
4.575;3.76
4.595;3.71
4.615;3.66
4.635;3.62
4.655;3.57
4.675;3.52
4.695;3.48
4.715;3.43
4.735;3.39
4.756;3.34
4.776;3.3
4.796;3.26
4.816;3.22
4.836;3.18
4.856;3.14
4.876;3.1
4.896;3.06
4.916;3.02
4.936;2.98
4.956;2.95
4.976;2.91
4.996;2.87
5.016;2.84
5.036;2.8
5.056;2.77
5.076;2.74
5.096;2.7
5.116;2.67
5.136;2.64
5.156;2.61
5.176;2.58
5.196;2.55
5.216;2.52
5.236;2.49
5.257;2.46
5.277;2.43
5.297;2.4
5.317;2.37
5.337;2.35
5.357;2.32
5.377;2.29
5.397;2.27
5.417;2.24
5.437;2.22
5.457;2.19
5.477;2.17
5.497;2.15
5.517;2.12
5.537;2.1
5.557;2.08
5.577;2.06
5.597;2.03
5.617;2.01
5.637;1.99
5.657;1.97
5.677;1.95
5.697;1.93
5.717;1.91
5.737;1.89
5.758;1.87
5.778;1.85
5.798;1.83
5.818;1.82
5.838;1.8
5.858;1.78
5.878;1.76
5.898;1.75
5.918;1.73
5.938;1.71
5.958;1.7
5.978;1.68
5.998;1.66
6.018;1.65
6.038;1.63
6.058;1.62
6.078;1.6
6.098;1.59
6.118;1.57
6.138;1.56
6.158;1.55
6.178;1.53
6.198;1.52
6.218;1.51
6.238;1.49
6.259;1.48
6.279;1.47
6.299;1.46
6.319;1.44
6.339;1.43
6.359;1.42
6.379;1.41
6.399;1.4
6.419;1.39
6.439;1.37
6.459;1.36
6.479;1.35
6.499;1.34
6.519;1.33
6.539;1.32
6.559;1.31
6.579;1.3
6.599;1.29
6.619;1.28
6.639;1.27
6.659;1.27
6.679;1.26
6.699;1.25
6.719;1.24
6.739;1.23
6.76;1.22
6.78;1.21
6.8;1.2
6.82;1.2
6.84;1.19
6.86;1.18
6.88;1.17
6.9;1.17
6.92;1.16
6.94;1.15
6.96;1.14
6.98;1.14
7;1.13
pF [-];log 10 K [cm/d]
-3;1.77
-2.97996;1.77
-2.95992;1.77
-2.93988;1.77
-2.91984;1.77
-2.8998;1.77
-2.87976;1.77
-2.85972;1.77
-2.839679;1.77
-2.819639;1.77
-2.799599;1.77
-2.779559;1.77
-2.759519;1.77
-2.739479;1.77
-2.719439;1.77
-2.699399;1.77
-2.679359;1.77
-2.659319;1.77
-2.639279;1.77
-2.619238;1.77
-2.599198;1.77
-2.579158;1.77
-2.559118;1.77
-2.539078;1.77
-2.519038;1.77
-2.498998;1.77
-2.478958;1.77
-2.458918;1.77
-2.438878;1.77
-2.418838;1.77
-2.398798;1.77
-2.378757;1.77
-2.358717;1.77
-2.338677;1.77
-2.318637;1.77
-2.298597;1.77
-2.278557;1.77
-2.258517;1.77
-2.238477;1.77
-2.218437;1.77
-2.198397;1.77
-2.178357;1.77
-2.158317;1.77
-2.138277;1.77
-2.118237;1.77
-2.098197;1.77
-2.078156;1.77
-2.058116;1.77
-2.038076;1.77
-2.018036;1.77
-1.997996;1.77
-1.977956;1.77
-1.957916;1.77
-1.937876;1.77
-1.917836;1.77
-1.897796;1.77
-1.877756;1.77
-1.857715;1.77
-1.837675;1.77
-1.817635;1.77
-1.797595;1.77
-1.777555;1.77
-1.757515;1.77
-1.737475;1.77
-1.717435;1.77
-1.697395;1.77
-1.677355;1.77
-1.657315;1.77
-1.637275;1.77
-1.617234;1.77
-1.597194;1.77
-1.577154;1.77
-1.557114;1.77
-1.537074;1.77
-1.517034;1.77
-1.496994;1.77
-1.476954;1.77
-1.456914;1.77
-1.436874;1.77
-1.416834;1.77
-1.396794;1.77
-1.376753;1.77
-1.356713;1.77
-1.336673;1.77
-1.316633;1.77
-1.296593;1.77
-1.276553;1.77
-1.256513;1.77
-1.236473;1.77
-1.216433;1.77
-1.196393;1.77
-1.176353;1.77
-1.156313;1.77
-1.136273;1.77
-1.116233;1.77
-1.096192;1.77
-1.076152;1.77
-1.056112;1.77
-1.036072;1.77
-1.016032;1.77
-0.995992;1.77
-0.9759519;1.77
-0.9559118;1.77
-0.9358717;1.77
-0.9158317;1.77
-0.8957916;1.77
-0.8757515;1.77
-0.8557114;1.77
-0.8356714;1.77
-0.8156313;1.77
-0.7955912;1.77
-0.7755511;1.77
-0.755511;1.77
-0.735471;1.77
-0.7154309;1.77
-0.6953908;1.77
-0.6753507;1.77
-0.6553106;1.77
-0.6352705;1.77
-0.6152304;1.77
-0.5951904;1.77
-0.5751503;1.77
-0.5551102;1.77
-0.5350701;1.77
-0.5150301;1.77
-0.49499;1.77
-0.4749499;1.77
-0.4549098;1.77
-0.4348697;1.77
-0.4148297;1.77
-0.3947896;1.77
-0.3747495;1.77
-0.3547094;1.77
-0.3346694;1.77
-0.3146293;1.77
-0.2945892;1.77
-0.2745491;1.77
-0.254509;1.77
-0.2344689;1.77
-0.2144289;1.77
-0.1943888;1.77
-0.1743487;1.77
-0.1543086;1.77
-0.1342685;1.77
-0.1142285;1.77
-0.09418838;1.77
-0.0741483;1.77
-0.05410822;1.77
-0.03406814;1.77
-0.01402806;1.77
0.006012024;1.77
0.0260521;1.77
0.04609219;1.77
0.06613226;1.77
0.08617234;1.77
0.1062124;1.77
0.1262525;1.77
0.1462926;1.77
0.1663327;1.77
0.1863727;1.77
0.2064128;1.77
0.2264529;1.77
0.246493;1.77
0.2665331;1.77
0.2865731;1.77
0.3066132;1.77
0.3266533;1.77
0.3466934;1.77
0.3667335;1.77
0.3867736;1.77
0.4068136;1.77
0.4268537;1.77
0.4468938;1.76
0.4669339;1.76
0.4869739;1.76
0.507014;1.76
0.5270541;1.76
0.5470942;1.76
0.5671343;1.76
0.5871744;1.76
0.6072145;1.76
0.6272545;1.76
0.6472946;1.76
0.6673347;1.76
0.6873748;1.76
0.7074148;1.76
0.7274549;1.76
0.747495;1.76
0.7675351;1.76
0.7875751;1.76
0.8076152;1.75
0.8276553;1.75
0.8476954;1.75
0.8677354;1.75
0.8877755;1.75
0.9078156;1.75
0.9278557;1.74
0.9478958;1.74
0.9679359;1.74
0.987976;1.74
1.008016;1.73
1.028056;1.73
1.048096;1.73
1.068136;1.72
1.088176;1.72
1.108216;1.71
1.128257;1.7
1.148297;1.7
1.168337;1.69
1.188377;1.68
1.208417;1.67
1.228457;1.66
1.248497;1.65
1.268537;1.64
1.288577;1.63
1.308617;1.62
1.328657;1.6
1.348697;1.58
1.368737;1.56
1.388778;1.54
1.408818;1.52
1.428858;1.5
1.448898;1.47
1.468938;1.44
1.488978;1.41
1.509018;1.38
1.529058;1.34
1.549098;1.3
1.569138;1.26
1.589178;1.22
1.609218;1.17
1.629259;1.12
1.649299;1.07
1.669339;1.02
1.689379;0.97
1.709419;0.91
1.729459;0.85
1.749499;0.79
1.769539;0.73
1.789579;0.66
1.809619;0.6
1.829659;0.53
1.849699;0.46
1.86974;0.39
1.88978;0.32
1.90982;0.25
1.92986;0.18
1.9499;0.11
1.96994;0.04
1.98998;-0.03
2.01002;-0.11
2.03006;-0.18
2.0501;-0.26
2.07014;-0.33
2.09018;-0.41
2.11022;-0.48
2.13026;-0.56
2.150301;-0.63
2.170341;-0.71
2.190381;-0.78
2.210421;-0.86
2.230461;-0.93
2.250501;-1.01
2.270541;-1.09
2.290581;-1.16
2.310621;-1.24
2.330661;-1.31
2.350701;-1.39
2.370741;-1.47
2.390782;-1.54
2.410822;-1.62
2.430862;-1.7
2.450902;-1.77
2.470942;-1.85
2.490982;-1.93
2.511022;-2
2.531062;-2.08
2.551102;-2.16
2.571142;-2.23
2.591182;-2.31
2.611223;-2.38
2.631263;-2.46
2.651303;-2.54
2.671343;-2.61
2.691383;-2.69
2.711423;-2.77
2.731463;-2.84
2.751503;-2.92
2.771543;-3
2.791583;-3.07
2.811623;-3.15
2.831663;-3.23
2.851703;-3.3
2.871743;-3.38
2.891783;-3.46
2.911824;-3.53
2.931864;-3.61
2.951904;-3.69
2.971944;-3.76
2.991984;-3.84
3.012024;-3.92
3.032064;-3.99
3.052104;-4.07
3.072144;-4.15
3.092184;-4.22
3.112224;-4.3
3.132265;-4.38
3.152305;-4.45
3.172345;-4.53
3.192385;-4.61
3.212425;-4.68
3.232465;-4.76
3.252505;-4.84
3.272545;-4.91
3.292585;-4.99
3.312625;-5.07
3.332665;-5.14
3.352705;-5.22
3.372746;-5.3
3.392786;-5.37
3.412826;-5.45
3.432866;-5.53
3.452906;-5.6
3.472946;-5.68
3.492986;-5.76
3.513026;-5.83
3.533066;-5.91
3.553106;-5.99
3.573146;-6.06
3.593186;-6.14
3.613226;-6.22
3.633266;-6.29
3.653307;-6.37
3.673347;-6.45
3.693387;-6.52
3.713427;-6.6
3.733467;-6.68
3.753507;-6.75
3.773547;-6.83
3.793587;-6.91
3.813627;-6.98
3.833667;-7.06
3.853707;-7.14
3.873748;-7.21
3.893788;-7.29
3.913828;-7.37
3.933868;-7.44
3.953908;-7.52
3.973948;-7.6
3.993988;-7.67
4.014028;-7.75
4.034068;-7.83
4.054108;-7.9
4.074148;-7.98
4.094188;-8.06
4.114228;-8.13
4.134269;-8.21
4.154309;-8.28
4.174349;-8.36
4.194389;-8.44
4.214429;-8.51
4.234469;-8.59
4.254509;-8.67
4.274549;-8.74
4.294589;-8.82
4.314629;-8.9
4.334669;-8.97
4.35471;-9.05
4.37475;-9.13
4.39479;-9.2
4.41483;-9.28
4.43487;-9.36
4.45491;-9.43
4.47495;-9.51
4.49499;-9.59
4.51503;-9.66
4.53507;-9.74
4.55511;-9.82
4.57515;-9.89
4.595191;-9.97
4.615231;-10.05
4.635271;-10.12
4.655311;-10.2
4.675351;-10.28
4.695391;-10.35
4.715431;-10.43
4.735471;-10.51
4.755511;-10.58
4.775551;-10.66
4.795591;-10.74
4.815631;-10.81
4.835671;-10.89
4.855711;-10.97
4.875751;-11.04
4.895792;-11.12
4.915832;-11.2
4.935872;-11.27
4.955912;-11.35
4.975952;-11.43
4.995992;-11.5
5.016032;-11.58
5.036072;-11.66
5.056112;-11.73
5.076152;-11.81
5.096192;-11.89
5.116232;-11.96
5.136272;-12.04
5.156312;-12.12
5.176353;-12.19
5.196393;-12.27
5.216433;-12.35
5.236473;-12.42
5.256513;-12.5
5.276553;-12.58
5.296593;-12.65
5.316633;-12.73
5.336673;-12.81
5.356713;-12.88
5.376753;-12.96
5.396793;-13.04
5.416834;-13.11
5.436874;-13.19
5.456914;-13.27
5.476954;-13.34
5.496994;-13.42
5.517034;-13.5
5.537074;-13.57
5.557114;-13.65
5.577154;-13.73
5.597194;-13.8
5.617235;-13.88
5.637275;-13.96
5.657315;-14.03
5.677355;-14.11
5.697395;-14.19
5.717435;-14.26
5.737475;-14.34
5.757515;-14.41
5.777555;-14.49
5.797595;-14.57
5.817635;-14.64
5.837676;-14.72
5.857716;-14.8
5.877756;-14.87
5.897796;-14.95
5.917836;-15.03
5.937876;-15.1
5.957916;-15.18
5.977956;-15.26
5.997996;-15.33
6.018036;-15.41
6.038076;-15.49
6.058116;-15.56
6.078156;-15.64
6.098197;-15.72
6.118237;-15.79
6.138277;-15.87
6.158317;-15.95
6.178357;-16.02
6.198397;-16.1
6.218437;-16.18
6.238477;-16.25
6.258517;-16.33
6.278557;-16.41
6.298597;-16.48
6.318637;-16.56
6.338677;-16.64
6.358717;-16.71
6.378757;-16.79
6.398798;-16.87
6.418838;-16.94
6.438878;-17.02
6.458918;-17.1
6.478958;-17.17
6.498998;-17.25
6.519038;-17.33
6.539078;-17.4
6.559118;-17.48
6.579158;-17.56
6.599198;-17.63
6.619238;-17.71
6.639278;-17.79
6.659318;-17.86
6.679358;-17.94
6.699399;-18.02
6.719439;-18.09
6.739479;-18.17
6.759519;-18.25
6.779559;-18.32
6.799599;-18.4
6.819639;-18.48
6.839679;-18.55
6.859719;-18.63
6.879759;-18.71
6.8998;-18.78
6.91984;-18.86
6.93988;-18.94
6.95992;-19.01
6.97996;-19.09
7;-19.17
Water Content [Vol%];log 10 K [cm/d]
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.77
36.08;1.76
36.08;1.76
36.08;1.76
36.08;1.76
36.08;1.76
36.08;1.76
36.08;1.76
36.08;1.76
36.08;1.76
36.08;1.76
36.08;1.76
36.08;1.76
36.08;1.76
36.07;1.76
36.07;1.76
36.07;1.76
36.07;1.76
36.07;1.76
36.07;1.75
36.06;1.75
36.06;1.75
36.06;1.75
36.05;1.75
36.05;1.75
36.04;1.74
36.03;1.74
36.03;1.74
36.02;1.74
36.01;1.73
36;1.73
35.98;1.73
35.97;1.72
35.95;1.72
35.93;1.71
35.91;1.7
35.89;1.7
35.86;1.69
35.82;1.68
35.79;1.67
35.74;1.66
35.7;1.65
35.64;1.64
35.58;1.63
35.51;1.62
35.43;1.6
35.34;1.58
35.24;1.56
35.13;1.54
35;1.52
34.87;1.5
34.71;1.47
34.54;1.44
34.36;1.41
34.16;1.38
33.94;1.34
33.71;1.3
33.46;1.26
33.19;1.22
32.91;1.17
32.61;1.12
32.29;1.07
31.96;1.02
31.62;0.97
31.27;0.91
30.91;0.85
30.54;0.79
30.16;0.73
29.77;0.66
29.38;0.6
28.99;0.53
28.59;0.46
28.19;0.39
27.79;0.32
27.4;0.25
27;0.18
26.6;0.11
26.21;0.04
25.82;-0.03
25.43;-0.11
25.04;-0.18
24.66;-0.26
24.29;-0.33
23.92;-0.41
23.55;-0.48
23.19;-0.56
22.83;-0.63
22.47;-0.71
22.12;-0.78
21.78;-0.86
21.44;-0.93
21.11;-1.01
20.78;-1.09
20.46;-1.16
20.14;-1.24
19.82;-1.31
19.51;-1.39
19.21;-1.47
18.91;-1.54
18.62;-1.62
18.33;-1.7
18.04;-1.77
17.76;-1.85
17.48;-1.93
17.21;-2
16.94;-2.08
16.68;-2.16
16.42;-2.23
16.16;-2.31
15.91;-2.38
15.67;-2.46
15.42;-2.54
15.19;-2.61
14.95;-2.69
14.72;-2.77
14.49;-2.84
14.27;-2.92
14.05;-3
13.83;-3.07
13.62;-3.15
13.41;-3.23
13.2;-3.3
13;-3.38
12.8;-3.46
12.6;-3.53
12.41;-3.61
12.22;-3.69
12.03;-3.76
11.85;-3.84
11.67;-3.92
11.49;-3.99
11.31;-4.07
11.14;-4.15
10.97;-4.22
10.81;-4.3
10.64;-4.38
10.48;-4.45
10.32;-4.53
10.16;-4.61
10.01;-4.68
9.86;-4.76
9.71;-4.84
9.57;-4.91
9.42;-4.99
9.28;-5.07
9.14;-5.14
9;-5.22
8.87;-5.3
8.74;-5.37
8.61;-5.45
8.48;-5.53
8.35;-5.6
8.23;-5.68
8.1;-5.76
7.98;-5.83
7.87;-5.91
7.75;-5.99
7.64;-6.06
7.52;-6.14
7.41;-6.22
7.3;-6.29
7.2;-6.37
7.09;-6.45
6.99;-6.52
6.89;-6.6
6.79;-6.68
6.69;-6.75
6.59;-6.83
6.49;-6.91
6.4;-6.98
6.31;-7.06
6.22;-7.14
6.13;-7.21
6.04;-7.29
5.95;-7.37
5.87;-7.44
5.78;-7.52
5.7;-7.6
5.62;-7.67
5.54;-7.75
5.46;-7.83
5.38;-7.9
5.31;-7.98
5.23;-8.06
5.16;-8.13
5.09;-8.21
5.02;-8.28
4.95;-8.36
4.88;-8.44
4.81;-8.51
4.74;-8.59
4.68;-8.67
4.61;-8.74
4.55;-8.82
4.49;-8.9
4.43;-8.97
4.37;-9.05
4.31;-9.13
4.25;-9.2
4.19;-9.28
4.13;-9.36
4.08;-9.43
4.02;-9.51
3.97;-9.59
3.92;-9.66
3.86;-9.74
3.81;-9.82
3.76;-9.89
3.71;-9.97
3.66;-10.05
3.62;-10.12
3.57;-10.2
3.52;-10.28
3.48;-10.35
3.43;-10.43
3.39;-10.51
3.34;-10.58
3.3;-10.66
3.26;-10.74
3.22;-10.81
3.18;-10.89
3.14;-10.97
3.1;-11.04
3.06;-11.12
3.02;-11.2
2.98;-11.27
2.95;-11.35
2.91;-11.43
2.87;-11.5
2.84;-11.58
2.8;-11.66
2.77;-11.73
2.74;-11.81
2.7;-11.89
2.67;-11.96
2.64;-12.04
2.61;-12.12
2.58;-12.19
2.55;-12.27
2.52;-12.35
2.49;-12.42
2.46;-12.5
2.43;-12.58
2.4;-12.65
2.37;-12.73
2.35;-12.81
2.32;-12.88
2.29;-12.96
2.27;-13.04
2.24;-13.11
2.22;-13.19
2.19;-13.27
2.17;-13.34
2.15;-13.42
2.12;-13.5
2.1;-13.57
2.08;-13.65
2.06;-13.73
2.03;-13.8
2.01;-13.88
1.99;-13.96
1.97;-14.03
1.95;-14.11
1.93;-14.19
1.91;-14.26
1.89;-14.34
1.87;-14.41
1.85;-14.49
1.83;-14.57
1.82;-14.64
1.8;-14.72
1.78;-14.8
1.76;-14.87
1.75;-14.95
1.73;-15.03
1.71;-15.1
1.7;-15.18
1.68;-15.26
1.66;-15.33
1.65;-15.41
1.63;-15.49
1.62;-15.56
1.6;-15.64
1.59;-15.72
1.57;-15.79
1.56;-15.87
1.55;-15.95
1.53;-16.02
1.52;-16.1
1.51;-16.18
1.49;-16.25
1.48;-16.33
1.47;-16.41
1.46;-16.48
1.44;-16.56
1.43;-16.64
1.42;-16.71
1.41;-16.79
1.4;-16.87
1.39;-16.94
1.37;-17.02
1.36;-17.1
1.35;-17.17
1.34;-17.25
1.33;-17.33
1.32;-17.4
1.31;-17.48
1.3;-17.56
1.29;-17.63
1.28;-17.71
1.27;-17.79
1.27;-17.86
1.26;-17.94
1.25;-18.02
1.24;-18.09
1.23;-18.17
1.22;-18.25
1.21;-18.32
1.2;-18.4
1.2;-18.48
1.19;-18.55
1.18;-18.63
1.17;-18.71
1.17;-18.78
1.16;-18.86
1.15;-18.94
1.14;-19.01
1.14;-19.09
1.13;-19.17
Is fitted;Parameter;Value;Min;Max;2.5%;97.5%;Unit
1;alpha;0.0264;0.00001;0.5;0.0232;0.0300;1/cm
1;n;3.044;0.5;15;2.180;4.251;-
1;th_r;0.007;0;0.4;-0.017;0.031;cm³/cm³
1;th_s;0.361;0.1;1;0.357;0.365;cm³/cm³
1;m;0.117;0.01;1;0.065;0.169;-
0;Ks;58.5;0.01;10000;;;cm/d
1;tau;3.136;-1;10;2.378;3.895;-
 ;alpha;n;th_r;th_s;m;Ks;tau
 ;1;0.743;-0.507;-0.107;0.45;-0.847;
alpha;0.743;1;-0.31;-0.557;0.591;-0.958;
n;-0.507;-0.31;1;0.125;-0.695;0.543;
th_r;-0.107;-0.557;0.125;1;-0.512;0.502;
th_s;0.45;0.591;-0.695;-0.512;1;-0.698;
m;-0.847;-0.958;0.543;0.502;-0.698;1;
Name;Value
RMSE_TH;0.0251
RMSE_K;0.3534
AICc;21
pF [-];Water content [Vol %]
1.8;29.57
2.5;17.36
4.2;4.86
